Date,Open,High,Low,Close,Volume
2001.1.2,"3,900","4,580","3,900","4,540","19,790,590"
2001.1.3,"4,390","4,750","4,320","4,560","29,071,000"
2001.1.4,"5,240","5,240","5,070","5,240","23,582,200"
2001.1.5,"5,350","6,020","5,240","6,020","29,973,110"
2001.1.8,"6,000","6,780","5,840","6,140","27,148,680"
2001.1.9,"6,000","6,100","5,650","5,920","22,613,370"
2001.1.10,"5,500","5,980","5,040","5,040","39,964,850"
2001.1.11,"4,900","5,460","4,900","5,280","45,510,410"
2001.1.12,"5,690","5,760","5,320","5,320","28,153,520"
2001.1.15,"5,500","6,000","5,400","6,000","33,598,670"
2001.1.16,"6,200","6,790","5,920","6,700","46,496,310"
2001.1.17,"6,700","7,150","6,010","6,250","56,547,070"
2001.1.18,"6,390","6,650","6,350","6,450","24,231,890"
2001.1.19,"7,010","7,090","6,650","6,780","20,966,580"
2001.1.22,"6,750","6,970","6,700","6,870","16,961,360"
2001.1.26,"6,660","6,700","5,850","5,910","21,171,710"
2001.1.29,"5,920","6,090","5,630","5,740","17,768,250"
2001.1.30,"5,900","6,190","5,750","5,850","19,908,540"
2001.1.31,"5,700","5,850","5,230","5,850","27,102,410"
2001.2.1,"5,500","5,720","5,420","5,530","11,655,290"
2001.2.2,"5,600","5,690","5,350","5,400","10,432,790"
2001.2.5,"5,030","5,130","4,810","4,930","12,181,560"
2001.2.6,"4,815","4,960","4,760","4,870","13,400,100"
2001.2.7,"4,910","4,955","4,800","4,805","11,499,360"
2001.2.8,"4,800","5,350","4,615","5,040","32,394,740"
2001.2.9,"4,905","5,040","4,835","4,850","13,263,430"
2001.2.12,"4,800","4,940","4,725","4,830","14,807,840"
2001.2.13,"4,960","5,040","4,725","4,755","19,795,090"
2001.2.14,"4,700","4,725","4,615","4,660","19,971,130"
2001.2.15,"4,900","4,950","4,650","4,655","36,647,480"
2001.2.16,"4,650","4,725","4,455","4,460","25,930,920"
2001.2.19,"4,350","4,355","4,075","4,200","32,456,250"
2001.2.20,"4,200","4,460","4,150","4,290","36,610,330"
2001.2.21,"4,110","4,220","4,055","4,080","22,687,460"
2001.2.22,"4,000","4,020","3,825","3,870","21,073,820"
2001.2.23,"3,815","4,065","3,815","4,000","31,412,780"
2001.2.26,"4,020","4,050","3,920","3,940","16,503,150"
2001.2.27,"3,995","4,090","3,820","3,830","24,928,330"
2001.2.28,"3,750","3,845","3,675","3,750","23,094,520"
2001.3.2,"3,780","3,810","3,350","3,375","35,604,510"
2001.3.5,"3,105","3,520","3,105","3,460","43,351,590"
2001.3.6,"3,590","3,670","3,440","3,520","38,304,850"
2001.3.7,"3,650","3,750","3,430","3,460","41,663,210"
2001.3.8,"3,465","3,580","3,330","3,465","29,579,580"
2001.3.9,"3,415","3,435","3,325","3,335","19,473,700"
2001.3.12,"3,355","3,800","3,350","3,410","69,053,680"
2001.3.13,"3,360","3,480","2,915","3,000","63,646,690"
2001.3.14,"3,300","3,320","3,070","3,150","60,815,700"
2001.3.15,"2,930","3,165","2,930","3,165","34,291,740"
2001.3.16,"3,160","3,245","3,105","3,140","34,054,700"
2001.3.19,"3,100","3,210","3,080","3,110","27,346,420"
2001.3.20,"3,200","3,210","3,075","3,085","30,126,470"
2001.3.21,"3,000","3,025","2,975","2,990","24,287,030"
2001.3.22,"2,990","3,180","2,925","3,000","58,196,410"
2001.3.23,"3,100","3,130","3,020","3,035","44,528,310"
2001.3.26,"3,140","3,490","3,095","3,490","91,333,850"
2001.3.27,"3,510","3,640","3,150","3,150","114,260,770"
2001.3.28,"3,310","3,385","2,980","3,040","65,400,320"
2001.3.29,"3,130","3,340","3,060","3,260","83,808,950"
2001.3.30,"3,205","3,330","3,060","3,155","79,731,170"
2001.4.2,"3,160","3,175","3,050","3,090","30,697,990"
2001.4.3,"2,970","3,010","2,930","2,930","32,996,420"
2001.4.4,"2,835","2,875","2,760","2,760","35,503,280"
2001.4.6,"3,000","3,030","2,920","2,960","59,127,240"
2001.4.9,"2,900","2,910","2,790","2,800","31,502,130"
2001.4.10,"2,815","2,825","2,620","2,630","29,253,200"
2001.4.11,"2,750","2,775","2,540","2,570","53,320,010"
2001.4.12,"2,695","2,700","2,565","2,620","54,399,100"
2001.4.13,"2,645","2,660","2,535","2,565","33,367,260"
2001.4.16,"2,540","2,590","2,500","2,505","27,623,520"
2001.4.17,"2,455","2,510","2,420","2,430","46,717,950"
2001.4.18,"2,600","2,790","2,545","2,790","103,612,830"
2001.4.19,"3,100","3,205","3,000","3,205","58,942,870"
2001.4.20,"3,305","3,635","3,280","3,285","132,998,420"
2001.4.23,"3,400","3,590","3,380","3,405","86,600,720"
2001.4.24,"3,205","3,245","3,060","3,080","66,832,320"
2001.4.25,"3,025","3,450","2,960","3,230","112,291,180"
2001.4.26,"3,295","3,315","3,070","3,095","61,067,480"
2001.4.27,"3,070","3,180","3,035","3,075","48,533,590"
2001.4.30,"3,200","3,465","3,170","3,385","123,473,320"
2001.5.2,"3,430","3,605","3,375","3,385","95,123,170"
2001.5.3,"3,430","3,505","3,365","3,430","73,716,720"
2001.5.4,"3,385","3,515","3,335","3,465","66,510,030"
2001.5.7,"3,600","3,760","3,485","3,655","81,984,650"
2001.5.8,"3,900","4,200","3,850","4,200","77,363,500"
2001.5.9,"4,300","4,480","3,930","3,930","124,824,250"
2001.5.10,"4,100","4,150","3,885","4,100","69,516,870"
2001.5.11,"4,100","4,155","4,015","4,035","47,969,120"
2001.5.14,"4,640","4,640","4,440","4,640","100,332,330"
2001.5.15,"4,560","4,630","4,290","4,380","70,685,760"
2001.5.16,"4,310","4,630","4,050","4,065","92,516,330"
2001.5.17,"4,315","4,340","4,070","4,130","70,142,960"
2001.5.18,"4,000","4,115","3,950","4,040","50,659,980"
2001.5.21,"4,060","4,320","4,060","4,145","93,200,110"
2001.5.22,"4,250","4,320","4,075","4,120","55,423,220"
2001.5.23,"4,050","4,150","4,000","4,040","40,353,160"
2001.5.24,"3,965","4,000","3,925","3,995","40,283,760"
2001.5.25,"4,025","4,530","4,020","4,420","100,640,600"
2001.5.28,"4,360","4,500","4,265","4,310","67,701,160"
2001.5.29,"4,495","4,860","4,430","4,570","134,580,310"
2001.5.30,"4,620","4,690","4,410","4,520","95,905,030"
2001.5.31,"4,325","4,400","4,225","4,340","45,233,050"
2001.6.1,"4,380","4,425","4,275","4,290","33,342,100"
2001.6.4,"4,310","4,410","4,290","4,330","36,517,720"
2001.6.5,"4,350","4,370","4,160","4,160","31,880,460"
2001.6.7,"4,210","4,360","4,210","4,345","54,220,270"
2001.6.8,"4,605","4,780","4,485","4,640","82,637,240"
2001.6.11,"4,545","4,710","4,490","4,545","51,939,940"
2001.6.12,"4,510","4,685","4,510","4,610","54,776,300"
2001.6.13,"4,660","4,675","4,225","4,325","91,800,560"
2001.6.14,"4,190","4,195","4,070","4,130","69,742,630"
2001.6.15,"4,050","4,180","3,960","4,100","67,095,770"
2001.6.18,"3,980","4,080","3,650","3,715","105,093,100"
2001.6.19,"3,650","3,735","3,580","3,620","64,761,670"
2001.6.20,"3,565","3,610","3,215","3,265","88,867,990"
2001.6.21,"3,265","3,355","3,235","3,305","80,031,410"
2001.6.22,"3,250","3,275","3,160","3,200","32,651,740"
2001.6.25,"3,200","3,300","3,160","3,160","43,477,640"
2001.6.26,"3,155","3,180","2,855","2,985","65,239,270"
2001.6.27,"2,865","2,890","2,745","2,760","90,239,860"
2001.6.28,"2,805","2,840","2,725","2,750","36,025,790"
2001.6.29,"2,850","2,870","2,770","2,795","29,840,090"
2001.7.2,"2,800","2,820","2,730","2,760","21,738,130"
2001.7.3,"2,760","2,785","2,625","2,655","26,109,450"
2001.7.4,"2,620","2,645","2,560","2,620","33,173,330"
2001.7.5,"2,590","2,600","2,480","2,480","34,032,080"
2001.7.6,"2,375","2,395","2,265","2,315","35,841,300"
2001.7.9,"2,100","2,180","1,990","2,055","53,277,510"
2001.7.10,"2,070","2,160","2,005","2,120","64,212,700"
2001.7.11,"2,005","2,110","2,000","2,030","40,890,000"
2001.7.12,"2,115","2,130","2,065","2,105","44,941,860"
2001.7.13,"2,140","2,150","1,885","1,890","60,739,910"
2001.7.16,"1,855","1,860","1,675","1,685","68,559,530"
2001.7.18,"1,700","1,855","1,665","1,690","109,726,170"
2001.7.19,"1,615","1,635","1,485","1,515","94,138,020"
2001.7.20,"1,510","1,530","1,400","1,400","75,808,270"
2001.7.23,"1,365","1,425","1,190","1,195","85,796,100"
2001.7.24,"1,135","1,370","1,040","1,320","269,719,540"
2001.7.25,"1,255","1,340","1,150","1,150","187,625,320"
2001.7.26,"1,180","1,240","1,160","1,210","152,530,320"
2001.7.27,"1,280","1,390","1,265","1,365","194,577,770"
2001.7.30,"1,400","1,435","1,315","1,335","134,238,330"
